Front	Back
走来走去	Walk back and forth (pinyin: zǒu lái zǒu qù)
高高兴兴地	Happily (pinyin: gāo gāo xìng xìng de)
没有人	No one to care for (pinyin: méi yǒu rén)
点点头	Nodding (pinyin: diǎn diǎn tóu)
笑了	Smiled (pinyin: xiào le)
跟着	Followed (pinyin: gēn zhe)
走过去	Walk over (to someone) (pinyin: zǒu guò qù)
笑着说	Says with a smile (pinyin: xiào zhe shuō)
家门口	At the door of the house (pinyin: jiā mén kǒu)
一起	Together (pinyin: yì qǐ)
太阳	The sun (pinyin: tài yáng)
太阳下山了	The sun has set (pinyin: tài yáng xià shān le)
